,country,city,topics,category,members,rating,geo
21,GB,London,"['Small Business', 'Freelance', 'Coworking', 'Professional Networking', 'Contractors', 'London', 'Entrepreneurship', ""Women's Business Networking"", 'Startup Businesses', 'Contractor', 'Creative Freelancers', 'Virtual Freelancers', 'Independent Professionals', 'Freelancer Networking']",career/business,377,0,"(51.5073219, -0.1276473)"
22,GB,London,"['Photography', 'Web Design', 'Indie Films', 'Live Music', 'Architecture', 'New Technology', 'Nutrition', 'Wellness', 'Coworking', 'Performing Arts', 'Startup Businesses', 'Cultural Activities', 'Collaboration between Creative Minds', 'Technology Startups']",fine arts/culture,316,0,"(51.5073219, -0.1276473)"
23,GB,London,"['Work At Home', 'New Career', 'Freelance', 'Coworking', 'Freelancers in London', 'Entrepreneurship', 'Career', 'Creative Freelancers', 'Virtual Freelancers', 'Coworkers', 'Freelance Content Writers', 'Freelance Communication & Marketing Professionals', 'Co-working Space', 'Freelancer Networking']",career/business,331,4.93,"(51.5073219, -0.1276473)"
24,GB,London,"['Work At Home', 'Freelance', 'Coworking', 'Women Entrepreneurs', 'Professional Networking', 'Entrepreneurship', 'Startup Businesses', 'Creative Freelancers', 'Remote Workers', 'start-ups', 'Freelancer Networking']",career/business,126,4.5,"(51.5073219, -0.1276473)"
25,GB,Redhill,"['Small Business', 'Work At Home', 'Freelance', 'Coworking', 'Entrepreneurship', 'Startup Businesses', 'Bootstrapping Your Business', 'Lean Startup', 'Technology Startups', 'micropreneurs', 'Software Developer Micropreneurs', 'Bootstrapped Startups', 'Self-funded Startups', 'Bootstrappers', 'Solo entrepreneur']",career/business,102,5,"(51.5073219, -0.1276473)"
26,GB,Cambridge,"['Small Business', 'Freelance', 'Coworking', 'Contractors', 'Freelancers in London', 'Entrepreneurship', 'Startup Businesses', 'Contractor', 'Creative Freelancers', 'Virtual Freelancers', 'Freelancer Networking']",career/business,78,0,"(51.5073219, -0.1276473)"
27,GB,Leicester,"['Small Business', 'Freelance', 'Coworking', 'Contractors', 'Startup Businesses', 'Contractor', 'Creative Freelancers', 'Virtual Freelancers', 'Freelancer Networking']",career/business,98,0,"(51.5073219, -0.1276473)"
28,GB,Reading,"['Small Business', 'Freelance', 'Coworking', 'Professional Networking', 'Contractors', 'Business Strategy', 'Startup Businesses', 'Contractor', 'Creative Freelancers', 'Virtual Freelancers', 'Freelancer Networking']",career/business,201,0,"(51.5073219, -0.1276473)"
29,GB,London,"['Small Business', 'Economics', 'Coworking', 'Professional Networking', 'Business Strategy', 'London', 'Entrepreneurship', 'Entrepreneur Networking', 'Collaboration between Creative Minds', 'Creativity', 'Creative Industries', 'The development of the creative industries']",career/business,408,0,"(51.5073219, -0.1276473)"
30,GB,Folkestone,"['Small Business', 'New In Town', 'Professional Development', 'Social Networking', 'Social', 'Coworking', 'Young Professionals', 'Professional Networking', 'Entrepreneurship', 'Entrepreneur Networking', 'Startup Businesses', 'Creative Freelancers', 'Socialising after Work']",career/business,52,0,"(51.5073219, -0.1276473)"
31,GB,Horsham,"['Graphic Design', 'Software Development', 'New Technology', 'Web Technology', 'Creative Circle', 'Coworking', 'Entrepreneurship', 'Entrepreneur Networking', 'Collaboration between Creative Minds', 'Creativity', 'Technology Startups', 'Co-working Space']",tech,59,4.5,"(51.5073219, -0.1276473)"
32,GB,Oxford,"['Java', 'PHP', 'Open Source', 'Web Design', 'JavaScript', 'New Technology', 'Freelance', 'Internet Professionals', 'Web Technology', 'Coworking', 'Web Development', 'Startup Businesses', 'CMS (Content Management Systems)', 'Computer programming', 'Mobile App Development']",tech,159,0,"(51.5073219, -0.1276473)"
33,GB,Cheltenham,"['Work At Home', 'Innovation', 'New Technology', 'Freelance', 'Web Technology', 'Coworking', 'Conversation', 'Community Building', 'Startup Businesses', 'Creative Freelancers', 'Collaboration between Creative Minds', 'Creativity', 'Self Employment', 'Design Thinking', 'Creative Collaboration']",career/business,35,4.75,"(51.5073219, -0.1276473)"
34,GB,London,"['Work At Home', 'Freelance', 'Coworking', 'Freelancer Networking']",career/business,35,0,"(51.5073219, -0.1276473)"
35,GB,London,"['Small Business', 'Work At Home', 'Freelance', 'Coworking', 'Entrepreneurship', 'Creative Freelancers', 'Collaboration between Creative Minds']",career/business,62,0,"(51.5073219, -0.1276473)"
36,GB,London,"['Small Business', 'Software Development', 'New Technology', 'Freelance', 'Coworking', 'Web Development', 'Talent', 'Startup Businesses', 'Creative Freelancers', 'Help for Business Startups', 'Lean Startup', 'Technology Startups', 'Co-working Space', 'Freelancer Networking']",career/business,75,0,"(51.5073219, -0.1276473)"
37,GB,St Ives,"['Business', 'Business Coaching', 'Coworking', 'Social Media', 'Business Referral Networking', 'Professional Networking', 'Business Strategy', 'Entrepreneurship', 'Small Business Networking', 'Small Business Owners', ""Women's Business Networking"", 'Startup Businesses', 'Business Meetup', 'B2B Networking', 'Internet Startups']",career/business,28,4.8,"(51.5073219, -0.1276473)"
38,GB,Cheltenham,"['Innovation', 'Software Development', 'Freelance', 'Coworking', 'Entrepreneurship', 'Co Working', 'Agile Project Management', 'Startup Businesses', 'Creative Freelancers', 'Creativity', 'Lean Startup', 'Computer programming', 'start-ups', 'Co-working Space']",career/business,54,0,"(51.5073219, -0.1276473)"
39,GB,London,"['Small Business', 'Freelance', 'Business Intelligence', 'Business', 'Coworking', 'Freelancers in London', 'Entrepreneurship', 'Creative Freelancers', 'Coworkers', 'Business Strategy and Coworking', 'Co-working Space']",career/business,16,0,"(51.5073219, -0.1276473)"
40,GB,London,"['Work At Home', 'Software Development', 'New Technology', 'Freelance', 'Web Technology', 'Technology', 'Coworking', 'Mobile Technology', 'Contractors', 'Business Strategy', 'Startup Businesses', 'Contractor', 'Creative Freelancers', 'Freelancer Networking']",career/business,198,0,"(51.5073219, -0.1276473)"
41,GB,London,"['Work At Home', 'Coworking', 'Creative Freelancers', 'Digital Lifestyle', 'Global Nomad', 'TCK', 'Coworkers', 'Location Independent Businesses', 'Co-working Space', 'Digital Nomads', 'Work rest and play', 'Motivational surroundings', 'nomads', 'Unconventional Businesses']",career/business,36,0,"(51.5073219, -0.1276473)"
42,GB,London,"['Small Business', 'Work At Home', 'Freelance', 'Business', 'Coworking', 'Freelancers in London', 'London', 'Entrepreneurship', 'Co Working', 'Startup Businesses', 'Solopreneurs', 'Coworkers', 'start-ups', 'Co-working Space']",career/business,182,0,"(51.5073219, -0.1276473)"
43,GB,London,"['Small Business', 'Meditation', 'Self-Improvement', 'Social Networking', 'Freelance', 'Coworking', 'Professional Networking', 'Multicultural', 'Entrepreneurship', 'Startup Businesses', 'Networking For the Self Employed', 'Mindfulness Meditation', 'Mixed heritage', 'Multiracial', 'Mixed Race Men']",language/ethnic identity,8,0,"(51.5073219, -0.1276473)"
44,GB,Wing,"['Small Business', 'Work At Home', 'Freelance', 'Coworking', 'work at home parents', 'Home-Based Business', 'Startup Businesses', 'Creative Freelancers', 'Collaboration between Creative Minds', 'Work at Home & Work at Home Moms', 'Working from Home Effectively', 'Coworkers', 'Freelance Communication & Marketing Professionals', 'Freelancer Networking']",career/business,124,0,"(51.5073219, -0.1276473)"
45,GB,Port Solent,"['Graphic Design', 'Freelance', 'Coworking', 'Entrepreneurship', 'Startup Businesses', 'Creative Freelancers', 'Virtual Freelancers', 'Freelance Translation', 'Freelance Trainers', 'Freelance Content Writers', 'Freelance Communication & Marketing Professionals', 'Freelance Journalists', 'women freelance writers', 'Freelance Editors', 'Freelancer Networking']",career/business,28,0,"(51.5073219, -0.1276473)"
46,GB,London,"['Web Design', 'Freelance', 'Coworking', 'Entrepreneurship', 'Entrepreneur Networking', 'Networking For the Self Employed', 'Creative Freelancers', 'Networking for Entrepreneurs', 'Self Employed Professionals', 'Co-working Space']",career/business,12,0,"(51.5073219, -0.1276473)"
47,DE,Berlin,"['Work At Home', 'Freelance', 'Coworking', 'Business Owners', 'Professional Networking', 'Entrepreneurship', 'Entrepreneur Networking', 'Small Business Networking', 'Small Business Owners', 'Startup Businesses', 'Creative Freelancers', 'B2B Networking']",career/business,1076,4.74,"(52.5170365, 13.3888599)"
48,DE,Berlin,"['Work At Home', 'Live Music', 'Freelance', 'Illustration', 'Coworking', 'Copywriting', 'Creative Freelancers', 'Collaboration between Creative Minds', 'Creativity', 'Freelance Translation', 'Creative Industries', 'Freelance Content Writers', 'Freelance Journalists', 'Freelance Editors']",career/business,137,4.75,"(52.5170365, 13.3888599)"
49,DE,Berlin,"['Internet Professionals', 'Coworking', 'Web Development', 'Creative Freelancers', 'Remote Workers']",tech,257,4.38,"(52.5170365, 13.3888599)"
50,DE,Berlin,"['Freelance', 'Technology', 'Social', 'Coworking', 'Professional Networking', 'Jobs', 'Startup Businesses', 'Creative Freelancers', 'Remote Workers', 'Technology Startups', 'Freelancer Networking']",career/business,640,4.76,"(52.5170365, 13.3888599)"
51,DE,Berlin,"['Freelance', 'Coworking', 'Entrepreneurship', 'Entrepreneur Networking', 'Co Working', 'Startup Businesses', 'Jelly', 'Creative Freelancers', 'Jellies', 'Coworkers', 'Shared Workspace', 'Co-working Space']",career/business,681,4.68,"(52.5170365, 13.3888599)"
52,DE,Berlin,"['Meditation', 'Innovation', 'Self-Improvement', 'Professional Development', 'Coworking', 'Mindfulness', 'Guided Meditation', 'Startup Businesses', 'Mindfulness Meditation']",career/business,54,0,"(52.5170365, 13.3888599)"
53,DE,Brandenburg,"['Gardening', 'Camping', 'Hiking', 'Walking', 'Live Music', 'DIY (Do It Yourself)', 'Coworking', 'Outdoors', 'Adventure', 'Artists', 'Backpacking', 'Creative Freelancers', 'Collaboration between Creative Minds', 'Co-working Space', 'coworking space']",outdoors/adventure,17,0,"(52.5170365, 13.3888599)"
54,DE,Berlin,"['Work At Home', 'Web Design', 'Graphic Design', 'Marketing', 'Freelance', 'Coworking', 'Small Business Marketing Strategy', 'Branding', 'Brand Design', 'Entrepreneur Networking', 'Startup Businesses', 'Creative Freelancers', 'Collaboration between Creative Minds', 'Co-working Space', 'Freelancer Networking']",career/business,187,0,"(52.5170365, 13.3888599)"
55,DE,Berlin,"['Getting Things Done', 'Freelance', 'Coworking', 'Success', 'Motivation', 'Personal Development', 'Entrepreneurship', 'Startup Businesses', 'Getting Organized', 'Productivity', 'Achieving Goals', 'start-ups', 'Business Strategy and Coworking', 'Co-working Space', 'coworking space']",career/business,232,5,"(52.5170365, 13.3888599)"
56,DE,Berlin,"['Social Networking', 'Freelance', 'Crafts', 'Wellness', 'Creative Circle', 'Coworking', 'Culture', 'Healthy Living', 'Collaboration', 'Creativity Art', 'Productivity', 'Creative Freelancers', 'Collaboration between Creative Minds', 'Creativity']",fine arts/culture,164,4.82,"(52.5170365, 13.3888599)"
57,DE,Berlin,"['Self-Improvement', 'Professional Development', 'Unternehmer', 'Freiberufler', 'Coworking', 'Professional Networking', 'Business Strategy', 'Entrepreneurship', 'Entrepreneur Networking', 'Startup Businesses', 'Unternehmensgründung', 'Entrepeneur', 'Selbständigkeit', 'Netzwerken', 'Prenzlauer Berg']",career/business,249,4.93,"(52.5170365, 13.3888599)"
58,DE,Berlin,"['Reporters and Journalists', 'Expat', 'Freelance', 'Language & Culture', 'Coworking', 'Professional Networking', 'Entrepreneurship', 'Journalism', 'International Friends', 'Future of Journalism', 'Culture Exchange', 'Freelance Journalists', 'Digital Journalism', 'Freelance Editors', 'Freelancer Networking']",career/business,46,0,"(52.5170365, 13.3888599)"
59,DE,Berlin,"['Graphic Design', 'Software Development', 'Freelance', 'Coworking', 'Web Development', 'Business Strategy', 'Startup Businesses', 'UX Design', 'User Interface Design', 'UI Design', 'Technology Startups', 'Mobile User Experience', 'coworking space']",tech,126,4.5,"(52.5170365, 13.3888599)"
60,DE,Berlin,"['Freelance', 'Coworking', 'Professional Networking', 'Entrepreneurship', 'Startup Businesses', 'Lean Startup', 'Technology Startups', 'Freelancer Networking']",career/business,50,0,"(52.5170365, 13.3888599)"
61,ES,Barcelona,"['Social Networking', 'Community Organizations', 'Coworking', 'Community', 'Community Outreach', 'People Helping People', 'Community Building', 'Collaboration', 'Barcelona', 'Skills exchange', 'Knowledge Sharing', 'Meeting new people in Barcelona']",community/environment,245,3.83,"(41.3825596, 2.1771353)"
62,ES,Barcelona,"['Live Music', 'Freelance', 'Coworking', 'Business Strategy', 'Entrepreneur Networking', 'Startup Businesses', 'Cultural Activities', 'Collaboration between Creative Minds', 'Creativity', 'Makers', 'Brainstorming Ideas', 'Designers', 'Makerspaces', 'Co-working Space', 'hackerspace']",hobbies/crafts,1631,4.31,"(41.3825596, 2.1771353)"
63,ES,Barcelona,"['Graphic Design', 'Live Music', 'New Technology', 'Coworking', 'Professional Networking', 'Sustainability', 'Entrepreneurship', 'Fashion Design', 'Creative Freelancers', 'Collaboration between Creative Minds', 'Visual Arts', 'Creative Industries', 'Gamification']",fine arts/culture,200,0,"(41.3825596, 2.1771353)"
64,ES,Barcelona,"['Coworking', 'Professional Networking', 'Business Strategy', 'Entrepreneurship', 'Internet Startup Idea Group', 'Startup Businesses', 'Help for Business Startups', 'Lean Startup', 'Startup Pitching', 'Coworkers', 'Technology Startups', 'Internet Startups']",career/business,350,4.37,"(41.3825596, 2.1771353)"
65,ES,Barcelona,"['Work At Home', 'Freelance', 'Coworking', 'Entrepreneurship', 'Startup Businesses', 'Creative Freelancers', 'Remote Workers', 'Freelancer Networking', 'Digital Nomads']",career/business,1012,4.9,"(41.3825596, 2.1771353)"
66,ES,Barcelona,"['Work At Home', 'Freelance', 'Coworking', 'Professional Networking', 'Vacations', 'Entrepreneurship', 'Startup Businesses', 'Weekend Getaways', 'Coworkers', 'start-ups', 'Business Strategy and Coworking', 'Sitges networking', 'coworking space', 'Hostel']",career/business,120,0,"(41.3825596, 2.1771353)"
67,ES,Barcelona,"['Coworking', 'Web Development', 'Talent', 'Startup Businesses', 'Learn How to Trade Equity Options', 'Andriod', 'WordPress Users', 'iOS Development', 'Internet Startups', 'A community Where Private Equity Investors Meet']",career/business,51,0,"(41.3825596, 2.1771353)"
68,ES,Mataró,"['Open Source', 'Web Design', 'Ruby', 'Freelance', 'Web Technology', 'Technology', 'Coworking', 'Web Development', 'Courses and Workshops', 'Ruby On Rails', 'Emprendedores', 'HTML5', 'Programacion']",tech,60,0,"(41.3825596, 2.1771353)"
69,ES,Barcelona,"['Innovation', 'New Technology', 'Freelance', 'Web Technology', 'Coworking', 'Entrepreneurship', 'Startup Businesses', 'Creative Freelancers', 'Business Innovation', 'Business Model Innovation', 'Design Thinking', 'Technology Startups', 'Internet Startups', 'Co-working Space']",career/business,156,5,"(41.3825596, 2.1771353)"
70,ES,Barcelona,"['Open Source', 'Self-Improvement', 'New Technology', 'Coworking', 'Professional Networking', 'Business Strategy', 'Entrepreneurship', 'Computer programming', 'Internet Startups', 'Co-working Space']",tech,227,0,"(41.3825596, 2.1771353)"
71,ES,Barcelona,"['Small Business', 'Work At Home', 'E-Business Owners', 'Freelance', 'Coworking', 'Women Entrepreneurs', 'Entrepreneurship', 'Startup Businesses', 'Creative Freelancers', 'Freelance Content Writers', 'Freelance Communication & Marketing Professionals', 'Technology Startups', 'Freelance Editors', 'Freelancer Networking']",career/business,255,5,"(41.3825596, 2.1771353)"
72,ES,Barcelona,"['Interaction Design', 'DIY (Do It Yourself)', 'Coworking', 'User Experience', 'Digital Fabrication', 'Arduino', 'Makers', 'Computer programming', 'CNC', 'Makerspaces', '3D Printing', 'Laser Cutting', 'start-ups', 'Co-working Space', 'fablabs']",tech,257,0,"(41.3825596, 2.1771353)"
73,ES,Barcelona,"['Small Business', 'Work At Home', 'Freelance', 'Coworking', 'Women Entrepreneurs', 'Professional Networking', 'Entrepreneurship', 'Entrepreneur Networking', 'Small Business Networking', 'Startup Businesses', 'Creative Freelancers', 'Business to Business Network Marketing', 'Coworkers', 'Freelancer Networking']",career/business,229,5,"(41.3825596, 2.1771353)"
74,ES,Barcelona,"['New In Town', 'Social Networking', 'Internet Professionals', 'Coworking', 'Building an Online Business', 'Professional Networking', 'Entrepreneurship', 'Entrepreneur Networking', 'Startup Businesses', 'Creative Freelancers', 'Remote Workers', 'Virtual Freelancers', 'Location Independent Businesses', 'Freelancer Networking', 'Digital Nomads']",career/business,215,4.92,"(41.3825596, 2.1771353)"
75,ES,Barcelona,"['Musicians', 'Digital Art', 'Social Networking', 'Social', 'Coworking', 'Wine Lovers', 'Artists', 'Creative Freelancers', 'Blogging', 'Coworkers', 'Digital Nomads']",career/business,50,0,"(41.3825596, 2.1771353)"
76,ES,Vilanova i la Geltrú,"['Robotics', 'Electronics', 'DIY (Do It Yourself)', 'Coworking', 'Fiber Arts', 'Self-Empowerment', 'Arduino', 'Makers', 'Makerspaces', 'DIY Technology', 'Drones']",hobbies/crafts,11,0,"(41.3825596, 2.1771353)"
77,ES,Barcelona,"['Self-Improvement', 'Law of Attraction', 'Professional Development', 'Coworking', 'Personal Development', 'Entrepreneurship', 'Collaboration', 'Self Exploration', 'Collaboration between Creative Minds', 'Self-Empowerment', 'Inteligencia emocional', 'Knowledge Sharing', 'Inteligencia Financiera', 'Emprendimiento', 'Emprendimiento social']",health/wellbeing,50,2,"(41.3825596, 2.1771353)"
78,ES,Barcelona,"['Environment', 'New Technology', 'Freelance', 'Coworking', 'Sustainability', 'Entrepreneur Networking', 'San Francisco', 'Green Entrepreneurs', 'Social Entrepreneurship', 'Going Green', 'Knowledge Sharing', 'Projets engagés & citoyens', 'Projets environnementaux & développement durable', 'Entrepreneuriat écologique et social', 'Economie Collaborative']",community/environment,56,0,"(41.3825596, 2.1771353)"
79,CZ,Prague,"['Coworking', 'Professional Networking', 'Communication', 'Business Growth', 'Business Strategy', 'International Friends', 'Prague', 'Foreigners in Prague']",career/business,1477,4.83,"(50.0874401, 14.4212556)"
80,CZ,Prague,"['Coworking', 'Movie Nights', ""Texas Hold 'em"", 'Dinner and a Movie', 'Game Night', 'Cooking', 'Pub Nights', 'Freelancers in Prague']",games,466,4.9,"(50.0874401, 14.4212556)"
81,CZ,Prague,"['Procrastinators', 'Professional Development', 'Freelance', 'Coworking', 'Creative Writing', 'MasterMinds', 'Personal Development', 'Writing', 'Time Management', 'Entrepreneurship', 'Productivity', 'Remote Workers', 'Time Management & Personal Productivity', 'Digital Nomads']",career/business,564,4.84,"(50.0874401, 14.4212556)"
82,CZ,Prague,"['Freelance', 'Coworking', 'Entrepreneurship', 'Startup Businesses', 'Jelly', 'Solopreneurs', 'Jellies', 'Shared Workspace']",career/business,247,4.75,"(50.0874401, 14.4212556)"
83,CZ,Prague,"['Freelance', 'Coworking', 'Living Abroad', 'Global Nomad', 'Micro Entrepreneurs', '4 Hour Work Week', 'Expatriates in Prague', 'Location Independent Businesses', 'micropreneurs', 'Foreigners in Prague', 'Four Hour Workweek', 'Digital Nomads', 'nomads', 'Bootstrappers', 'Solo entrepreneur']",career/business,32,0,"(50.0874401, 14.4212556)"
84,IT,Bergamo,"['Innovation', 'New Technology', 'Leisure', 'Arte', 'Crescita Personale', 'Coworking', 'Energie Rinnovabili', 'Entrepreneurship', 'Culture', 'Sviluppo', 'Giovani', 'Economia e Finanza', 'Impresa', 'start-ups', 'Iniziative']",community/environment,25,0,"(45.4667971, 9.1904984)"
85,IT,Torino,"['Small Business', 'Work At Home', 'Freelance', 'Coworking', 'Professional Networking', 'Entrepreneurship', 'Startup Businesses', 'Creative Freelancers', 'Collaboration between Creative Minds', 'Virtual Freelancers', 'Freelance Communication & Marketing Professionals', 'Freelancer Networking']",career/business,72,0,"(45.4667971, 9.1904984)"
86,HU,Budapest,"['Travel', 'Social Networking', 'Freelance', 'Social', 'Coworking', 'Adventure', 'Entrepreneurship', 'Collaboration between Creative Minds', 'Digital Lifestyle', 'Global Nomad', '4 Hour Work Week', 'Location Independent Businesses', 'Digital Nomads', 'nomads', 'Unconventional Businesses']",career/business,267,5,"(47.4983815, 19.0404707)"
87,SK,Bratislava,"['Small Business', 'Work At Home', 'Freelance', 'Coworking', 'Professional Networking', 'Business Strategy', 'Entrepreneurship', 'Startup Businesses', 'Creative Freelancers', 'Internet Startups']",career/business,124,0,"(47.4983815, 19.0404707)"
88,HU,Budapest,"['Coworking', 'Online Marketing', 'Entrepreneurship', 'Startup Businesses', 'Lean Startup', 'Customer Acquisition', 'Startup marketing', 'Lean Marketing', 'Freelancer Networking', 'Agile Marketing', 'Growth Hacking']",career/business,74,0,"(47.4983815, 19.0404707)"
89,HU,Budapest,"['Small Business', 'Work At Home', 'Freelance', 'Coworking', 'Professional Networking', 'Entrepreneurship', 'Startup Businesses', 'Creative Freelancers', 'Creativity', 'Coworkers', 'start-ups', 'Business Strategy and Coworking', 'Co-working Space', 'coworking space']",career/business,139,0,"(47.4983815, 19.0404707)"
90,NL,Amsterdam,"['Web Design', 'Marketing', 'Web Technology', 'Coworking', 'Mobile Technology', 'Entrepreneurship', 'Creative Freelancers', 'UX Design', 'Technology Startups']",tech,3,0,"(52.374436, 4.8979956033677)"
91,NL,Amsterdam,"['Graphic Design', 'Software Development', 'New Technology', 'Freelance', 'Coworking', 'Copywriting', 'Entrepreneurship', 'Mobile Development', 'Creative Freelancers', 'Virtual Freelancers', 'Creative Industries', 'Technology Startups', 'Shared Workspace', 'Co-working Space']",career/business,35,0,"(52.374436, 4.8979956033677)"
92,DE,Düsseldorf,"['Social Networking', 'Freelance', 'Social', 'Coworking', 'Business Strategy', 'Entrepreneurship', 'Startup Businesses', 'Social Innovation', 'Creative Freelancers', 'Lean Startup', 'Technology Startups', 'Co-working Space', 'coworking space', 'Digital Nomads', 'Unconventional Businesses']",career/business,370,4.73,"(52.374436, 4.8979956033677)"
